,Make,Model,Battery_(Kwh),Acceleration_in_Secs_(1-100),Top_Speed_(km/h),Range_(km),Efficiency_(Wh/km),Price_in_Germany (€),Make/Model
203,Toyota,PROACE Verso L 50 kWh,45.0,12.1,130,175,257,59385.0,Toyota PROACE Verso L 50 kWh
204,Toyota,PROACE Shuttle M 75 kWh,65.0,13.1,130,245,265,,Toyota PROACE Shuttle M 75 kWh
205,Porsche,Taycan 4S Plus Sport Turismo,83.7,4.0,250,430,195,112961.0,Porsche Taycan 4S Plus Sport Turismo
206,Mercedes,EQV 250 Long,60.0,12.0,160,205,293,67818.0,Mercedes EQV 250 Long
207,Peugeot,e-Traveller Long 50 kWh,45.0,13.1,130,175,257,56690.0,Peugeot e-Traveller Long 50 kWh
208,Citroen,e-SpaceTourer XL 75 kWh,65.0,13.3,130,250,260,58230.0,Citroen e-SpaceTourer XL 75 kWh
209,Opel,Vivaro-e Combi L 50 kWh,45.0,12.1,130,175,257,51111.0,Opel Vivaro-e Combi L 50 kWh
210,Mercedes,EQV 250 Extra-Long,60.0,12.0,160,205,293,68711.0,Mercedes EQV 250 Extra-Long
211,Porsche,Taycan 4S Sport Turismo,71.0,4.0,250,370,192,107439.0,Porsche Taycan 4S Sport Turismo
212,Porsche,Taycan Turbo Sport Turismo,83.7,3.2,260,405,207,153968.0,Porsche Taycan Turbo Sport Turismo
213,Peugeot,e-Expert Combi Compact 50 kWh,45.0,12.1,130,180,250,,Peugeot e-Expert Combi Compact 50 kWh
214,Opel,Zafira-e Life L 50 kWh,45.0,12.1,130,175,257,54625.0,Opel Zafira-e Life L 50 kWh
215,Toyota,PROACE Shuttle L 50 kWh,45.0,12.1,130,175,257,,Toyota PROACE Shuttle L 50 kWh
216,Toyota,PROACE Shuttle M 50 kWh,45.0,12.1,130,175,257,,Toyota PROACE Shuttle M 50 kWh
217,Citroen,e-Jumpy Combi XL 50 kWh,45.0,12.1,130,175,257,50980.0,Citroen e-Jumpy Combi XL 50 kWh
