nrg_bal,siec,unit,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
FC_TRA_ROAD_E,E7000,KTOE,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.075 	0.091 	0.170 	0.184 
FC_TRA_ROAD_E,E7000,KTOE,SK	0.000 	0.000 	0.000 	0.000 	2.408 	2.236 	2.150 	2.150 	2.150 	2.064 	2.064 	2.064 
FC_TRA_ROAD_E,E7000,KTOE,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,E7000,KTOE,UA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,E7000,KTOE,UK	1.548 	1.548 	1.806 	2.236 	2.837 	5.847 	8.354 	11.433 	15.820 	20.732 	31.512 	: 
FC_TRA_ROAD_E,E7000,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,AT	7.861 	10.841 	11.610 	12.721 	15.473 	16.773 	17.350 	17.301 	17.116 	16.638 	18.344 	19.454 
FC_TRA_ROAD_E,G3000,KTOE,BA	: 	: 	: 	: 	: 	0.000 	0.000 	0.086 	1.094 	2.042 	2.300 	2.537 
FC_TRA_ROAD_E,G3000,KTOE,BE	0.220 	0.000 	0.237 	0.537 	0.869 	1.736 	3.319 	5.398 	8.537 	14.560 	27.939 	42.575 
FC_TRA_ROAD_E,G3000,KTOE,BG	49.118 	65.929 	60.748 	64.811 	70.874 	78.591 	77.774 	74.097 	75.015 	78.423 	87.357 	86.187 
FC_TRA_ROAD_E,G3000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,CZ	6.642 	8.641 	10.254 	12.468 	13.586 	24.635 	35.834 	49.033 	55.782 	60.771 	75.391 	76.658 
FC_TRA_ROAD_E,G3000,KTOE,DE	146.412 	138.523 	166.466 	169.862 	175.969 	177.987 	176.440 	162.510 	143.027 	125.450 	142.317 	133.213 
FC_TRA_ROAD_E,G3000,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.804 	3.143 	6.382 	7.859 	7.963 	7.918 
FC_TRA_ROAD_E,G3000,KTOE,EA19	868.207 	974.299 	1082.945 	1142.728 	1222.837 	1296.862 	1375.976 	1392.285 	1354.389 	1417.378 	1634.342 	1570.712 
FC_TRA_ROAD_E,G3000,KTOE,EE	0.000 	0.043 	0.258 	0.537 	0.860 	1.569 	2.773 	4.127 	4.552 	7.113 	6.406 	15.533 
FC_TRA_ROAD_E,G3000,KTOE,EL	14.725 	14.144 	14.940 	14.725 	13.414 	13.758 	15.112 	18.960 	12.790 	15.191 	17.891 	18.126 
FC_TRA_ROAD_E,G3000,KTOE,ES	43.594 	55.288 	59.609 	63.737 	69.175 	74.399 	78.956 	97.787 	114.705 	150.279 	194.368 	276.633 
FC_TRA_ROAD_E,G3000,KTOE,EU27_2020	947.290 	1083.628 	1198.251 	1274.908 	1362.628 	1455.375 	1549.342 	1581.394 	1528.993 	1602.486 	1844.034 	1780.431 
FC_TRA_ROAD_E,G3000,KTOE,FI	5.159 	5.159 	3.439 	5.503 	3.439 	3.654 	3.525 	3.955 	4.607 	7.352 	11.136 	13.866 
FC_TRA_ROAD_E,G3000,KTOE,FR	29.471 	30.804 	70.947 	79.062 	88.652 	96.217 	99.248 	103.963 	112.693 	132.631 	162.704 	193.269 
FC_TRA_ROAD_E,G3000,KTOE,GE	: 	: 	: 	: 	214.453 	294.648 	300.962 	228.397 	211.347 	194.484 	161.606 	116.316 
FC_TRA_ROAD_E,G3000,KTOE,HR	1.139 	2.107 	0.645 	0.817 	1.548 	3.224 	3.310 	3.654 	4.227 	4.220 	3.971 	3.073 
FC_TRA_ROAD_E,G3000,KTOE,HU	1.397 	0.924 	0.860 	1.118 	1.096 	1.440 	4.235 	8.129 	8.749 	9.652 	9.243 	7.760 
FC_TRA_ROAD_E,G3000,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,IT	601.096 	695.292 	722.399 	756.793 	811.629 	862.403 	900.903 	893.594 	847.073 	857.942 	959.871 	772.378 
FC_TRA_ROAD_E,G3000,KTOE,LT	1.354 	2.408 	3.203 	2.880 	3.998 	4.643 	7.674 	7.760 	7.825 	7.717 	7.459 	8.383 
FC_TRA_ROAD_E,G3000,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,LV	0.086 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.056 	0.185 	0.534 
FC_TRA_ROAD_E,G3000,KTOE,MD	: 	1.032 	1.677 	1.677 	1.397 	1.268 	12.382 	17.412 	15.859 	16.380 	12.016 	6.191 
FC_TRA_ROAD_E,G3000,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,MK	0.236 	0.193 	0.236 	0.107 	0.129 	0.150 	0.150 	0.150 	0.193 	0.709 	1.762 	1.985 
FC_TRA_ROAD_E,G3000,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,NL	6.277 	9.265 	17.283 	23.710 	26.182 	30.460 	54.489 	60.249 	63.520 	63.037 	63.796 	57.951 
FC_TRA_ROAD_E,G3000,KTOE,NO	3.439 	4.520 	5.832 	12.599 	14.936 	15.270 	20.224 	21.357 	23.305 	25.711 	32.311 	23.689 
FC_TRA_ROAD_E,G3000,KTOE,PL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	15.972 	14.596 	11.133 	12.769 	17.158 	19.508 
FC_TRA_ROAD_E,G3000,KTOE,PT	11.952 	12.532 	12.554 	11.973 	12.382 	12.102 	14.080 	13.865 	14.676 	16.073 	17.508 	15.310 
FC_TRA_ROAD_E,G3000,KTOE,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,RS	0.666 	1.569 	1.505 	1.978 	3.719 	3.353 	3.740 	3.611 	3.566 	8.809 	9.067 	20.187 
FC_TRA_ROAD_E,G3000,KTOE,SE	20.787 	31.728 	42.799 	52.966 	52.687 	50.623 	34.437 	36.457 	13.316 	11.414 	8.609 	8.615 
FC_TRA_ROAD_E,G3000,KTOE,SI	0.000 	0.000 	0.000 	0.688 	0.795 	1.161 	2.107 	2.816 	3.268 	3.339 	4.418 	3.487 
FC_TRA_ROAD_E,G3000,KTOE,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,G3000,KTOE,TR	32.932 	58.706 	61.565 	41.165 	70.959 	69.712 	70.808 	66.788 	68.894 	76.008 	79.860 	66.619 
FC_TRA_ROAD_E,G3000,KTOE,UA	52.279 	45.185 	44.153 	44.067 	41.552 	23.259 	24.721 	28.074 	28.460 	22.757 	20.156 	18.229 
FC_TRA_ROAD_E,G3000,KTOE,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
FC_TRA_ROAD_E,G3000,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,O4630,KTOE,AL	0.000 	0.000 	2.260 	4.520 	5.650 	5.650 	6.780 	6.780 	7.040 	11.560 	11.933 	8.046 
FC_TRA_ROAD_E,O4630,KTOE,AT	22.518 	21.186 	20.351 	21.484 	20.094 	17.667 	13.441 	12.190 	11.605 	8.226 	5.253 	3.055 
FC_TRA_ROAD_E,O4630,KTOE,BA	: 	: 	: 	: 	: 	40.318 	41.438 	51.518 	64.957 	59.655 	58.002 	68.433 
FC_TRA_ROAD_E,O4630,KTOE,BE	58.231 	52.737 	54.935 	52.737 	46.145 	48.342 	63.724 	64.823 	58.780 	55.154 	54.715 	48.466 
FC_TRA_ROAD_E,O4630,KTOE,BG	387.838 	373.555 	349.384 	370.259 	397.726 	433.983 	462.549 	495.510 	478.865 	457.021 	438.510 	415.713 
FC_TRA_ROAD_E,O4630,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.498 	0.539 	0.451 
FC_TRA_ROAD_E,O4630,KTOE,CZ	83.724 	80.594 	81.625 	89.968 	93.107 	102.522 	103.568 	103.568 	100.430 	96.245 	92.061 	77.415 
FC_TRA_ROAD_E,O4630,KTOE,DE	569.506 	553.014 	565.108 	562.909 	546.417 	512.855 	452.923 	401.234 	367.283 	385.802 	348.765 	251.028 
FC_TRA_ROAD_E,O4630,KTOE,DK	3.296 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,O4630,KTOE,EA19	2613.592 	2737.580 	2931.208 	2882.013 	3196.522 	3139.313 	3194.191 	3063.274 	3047.854 	2971.051 	2980.694 	2357.386 
FC_TRA_ROAD_E,O4630,KTOE,EE	2.478 	2.237 	2.470 	3.246 	3.814 	4.562 	5.441 	6.108 	7.320 	8.823 	10.509 	10.107 
FC_TRA_ROAD_E,O4630,KTOE,EL	18.678 	46.145 	196.666 	54.935 	204.357 	217.541 	257.094 	261.488 	245.906 	235.568 	240.328 	193.716 
FC_TRA_ROAD_E,O4630,KTOE,ES	18.076 	21.465 	23.725 	29.373 	35.022 	39.541 	48.579 	53.098 	57.617 	70.044 	97.158 	74.563 
FC_TRA_ROAD_E,O4630,KTOE,EU27_2020	5085.705 	5131.462 	5306.858 	5250.028 	5586.060 	5596.868 	5721.927 	5741.266 	5835.200 	5759.518 	5829.612 	4918.680 
FC_TRA_ROAD_E,O4630,KTOE,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,O4630,KTOE,FR	108.770 	126.349 	139.534 	126.349 	112.066 	99.981 	88.994 	79.106 	70.316 	63.687 	57.814 	39.041 
FC_TRA_ROAD_E,O4630,KTOE,GE	: 	: 	: 	: 	2.197 	2.197 	0.000 	0.000 	3.076 	3.955 	18.962 	22.101 
FC_TRA_ROAD_E,O4630,KTOE,HR	78.396 	66.077 	62.717 	61.597 	62.717 	68.317 	75.037 	79.516 	79.180 	78.844 	73.917 	59.133 
FC_TRA_ROAD_E,O4630,KTOE,HU	26.942 	29.187 	31.432 	23.574 	32.555 	30.310 	30.310 	27.563 	26.449 	23.143 	19.837 	14.326 
FC_TRA_ROAD_E,O4630,KTOE,IE	0.587 	0.515 	0.550 	1.000 	1.303 	2.108 	2.530 	2.549 	2.254 	1.852 	1.629 	0.839 
FC_TRA_ROAD_E,O4630,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
FC_TRA_ROAD_E,O4630,KTOE,IT	1204.165 	1333.811 	1392.042 	1483.233 	1688.688 	1718.353 	1817.235 	1755.708 	1831.927 	1773.287 	1816.155 	1438.693 
FC_TRA_ROAD_E,O4630,KTOE,LT	184.048 	174.069 	162.982 	153.004 	146.351 	143.025 	133.312 	125.663 	116.476 	109.163 	105.120 	96.900 
FC_TRA_ROAD_E,O4630,KTOE,LU	1.482 	1.485 	0.686 	1.873 	1.284 	1.481 	0.743 	0.803 	0.694 	0.369 	0.323 	0.191 
FC_TRA_ROAD_E,O4630,KTOE,LV	20.666 	23.929 	28.280 	44.596 	56.561 	63.087 	64.175 	61.999 	58.284 	55.225 	48.432 	43.771 
FC_TRA_ROAD_E,O4630,KTOE,MD	: 	14.304 	11.003 	14.304 	14.304 	14.304 	15.404 	14.303 	14.303 	13.203 	12.763 	11.992 
FC_TRA_ROAD_E,O4630,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	7.840 	8.960 	8.960 	9.296 	9.408 	9.408 	7.728 
FC_TRA_ROAD_E,O4630,KTOE,MK	49.242 	46.968 	39.142 	36.891 	41.428 	46.915 	53.653 	59.261 	58.134 	58.502 	63.455 	48.638 
